epoch,band,band_rmse
2000,LLL,0.5023624897003174
2000,LLH,0.06409740447998047
2000,LHL,0.06966178864240646
2000,LHH,0.03350624069571495
2000,HLL,0.038208238780498505
2000,HLH,0.015566113404929638
2000,HHL,0.01818617433309555
2000,HHH,0.011411516927182674
24000,LLL,0.49287840723991394
24000,LLH,0.06075582653284073
24000,LHL,0.06359133869409561
24000,LHH,0.03135284036397934
24000,HLL,0.03575679659843445
24000,HLH,0.014345549046993256
24000,HHL,0.0164044126868248
24000,HHH,0.010485505685210228
50000,LLL,0.4903393089771271
50000,LLH,0.06061414256691933
50000,LHL,0.06240794435143471
50000,LHH,0.0315340980887413
50000,HLL,0.03580482676625252
50000,HLH,0.014378255233168602
50000,HHL,0.016337541863322258
50000,HHH,0.010566048324108124
80000,LLL,0.4225398004055023
80000,LLH,0.059314221143722534
80000,LHL,0.0598478838801384
80000,LHH,0.031378768384456635
80000,HLL,0.03563942387700081
80000,HLH,0.01430346630513668
80000,HHL,0.016285497695207596
80000,HHH,0.010511067695915699
