epoch,saved_shift_range,image_rmse,dvf_rmse,predicted_x_mean
2000,1,0.1818699836730957,5.768834114074707,0.012884628027677536
24000,12,0.17801378667354584,6.001153945922852,-0.11296580731868744
50000,25,0.1770814210176468,5.984183311462402,-0.022473305463790894
80000,40,0.15348950028419495,5.422438621520996,1.4191263914108276
