epoch,seed,max_initial_shift,rmse_before,rmse_after,dvf_rmse,true_flow_absmax_lowres,predicted_flow_absmax_lowres
1,20260803,40.0,0.06302472203969955,0.06299744546413422,0.7813488841056824,3.657940149307251,0.0007964677643030882
2000,20260803,40.0,0.06302472203969955,0.0517546683549881,0.7786622643470764,3.657940149307251,1.1979151964187622
4000,20260803,40.0,0.06302472203969955,0.04365815222263336,0.7593379616737366,3.657940149307251,2.2449119091033936
6000,20260803,40.0,0.06302472203969955,0.037841834127902985,0.7406384944915771,3.657940149307251,2.934696674346924
8000,20260803,40.0,0.06302472203969955,0.035621773451566696,0.7267065644264221,3.657940149307251,3.4430222511291504
10000,20260803,40.0,0.06302472203969955,0.033536653965711594,0.7103208303451538,3.657940149307251,2.8366832733154297
12000,20260803,40.0,0.06302472203969955,0.031251318752765656,0.7143141627311707,3.657940149307251,3.674739360809326
14000,20260803,40.0,0.06302472203969955,0.03183886781334877,0.7072694301605225,3.657940149307251,3.4935414791107178
16000,20260803,40.0,0.06302472203969955,0.02791932411491871,0.6961770057678223,3.657940149307251,3.750157594680786
18000,20260803,40.0,0.06302472203969955,0.02708280272781849,0.6779022812843323,3.657940149307251,4.0601983070373535
20000,20260803,40.0,0.06302472203969955,0.02655564248561859,0.6633865237236023,3.657940149307251,4.9879889488220215
22000,20260803,40.0,0.06302472203969955,0.0252888984978199,0.6464838981628418,3.657940149307251,5.067481994628906
24000,20260803,40.0,0.06302472203969955,0.02385774627327919,0.6367809176445007,3.657940149307251,5.822368144989014
26000,20260803,40.0,0.06302472203969955,0.024124296382069588,0.635975182056427,3.657940149307251,5.814630508422852
28000,20260803,40.0,0.06302472203969955,0.022897768765687943,0.6096173524856567,3.657940149307251,5.861881732940674
30000,20260803,40.0,0.06302472203969955,0.02131783403456211,0.60308837890625,3.657940149307251,6.200558662414551
32000,20260803,40.0,0.06302472203969955,0.020314879715442657,0.5964710712432861,3.657940149307251,6.438366413116455
34000,20260803,40.0,0.06302472203969955,0.019799286499619484,0.5938509106636047,3.657940149307251,6.217852592468262
36000,20260803,40.0,0.06302472203969955,0.019555633887648582,0.5789411067962646,3.657940149307251,6.50213098526001
38000,20260803,40.0,0.06302472203969955,0.01951642893254757,0.5605666637420654,3.657940149307251,6.3896894454956055
40000,20260803,40.0,0.06302472203969955,0.01916576363146305,0.5532765984535217,3.657940149307251,6.596220016479492
42000,20260803,40.0,0.06302472203969955,0.018956398591399193,0.5583271384239197,3.657940149307251,6.220444679260254
44000,20260803,40.0,0.06302472203969955,0.018881995230913162,0.5621760487556458,3.657940149307251,6.595207691192627
46000,20260803,40.0,0.06302472203969955,0.018402326852083206,0.5147069692611694,3.657940149307251,6.475765228271484
48000,20260803,40.0,0.06302472203969955,0.018189655616879463,0.5285595655441284,3.657940149307251,6.434798717498779
50000,20260803,40.0,0.06302472203969955,0.018305111676454544,0.5361787676811218,3.657940149307251,6.240812301635742
52000,20260803,40.0,0.06302472203969955,0.0180854182690382,0.5273394584655762,3.657940149307251,6.489153861999512
54000,20260803,40.0,0.06302472203969955,0.01806870475411415,0.5203837752342224,3.657940149307251,6.465025424957275
56000,20260803,40.0,0.06302472203969955,0.017910132184624672,0.5092847943305969,3.657940149307251,6.241604328155518
58000,20260803,40.0,0.06302472203969955,0.01785442791879177,0.5237683057785034,3.657940149307251,6.161976337432861
60000,20260803,40.0,0.06302472203969955,0.017993995919823647,0.4956052005290985,3.657940149307251,6.18540620803833
62000,20260803,40.0,0.06302472203969955,0.017706507816910744,0.49621298909187317,3.657940149307251,6.735459804534912
64000,20260803,40.0,0.06302472203969955,0.017756149172782898,0.5080287456512451,3.657940149307251,6.4696221351623535
66000,20260803,40.0,0.06302472203969955,0.017685692757368088,0.4969676434993744,3.657940149307251,6.377162456512451
68000,20260803,40.0,0.06302472203969955,0.01769091933965683,0.49764561653137207,3.657940149307251,6.052639961242676
70000,20260803,40.0,0.06302472203969955,0.01761937513947487,0.4861569106578827,3.657940149307251,6.7797160148620605
72000,20260803,40.0,0.06302472203969955,0.01795530505478382,0.4865702986717224,3.657940149307251,6.718345642089844
74000,20260803,40.0,0.06302472203969955,0.017636433243751526,0.46390336751937866,3.657940149307251,6.527097702026367
76000,20260803,40.0,0.06302472203969955,0.017615193501114845,0.487681120634079,3.657940149307251,6.608455657958984
78000,20260803,40.0,0.06302472203969955,0.017442209646105766,0.4891307055950165,3.657940149307251,6.775496959686279
80000,20260803,40.0,0.06302472203969955,0.01758406311273575,0.4865114390850067,3.657940149307251,5.999423980712891
