epoch,shift_pixels_fullres_x,true_flow_x_lowres,predicted_flow_x_mean_lowres,rmse_before,rmse_after,dvf_rmse
1,-40,-20.0,0.0005804240354336798,0.23678238689899445,0.23677228391170502,11.547340393066406
1,-30,-15.0,0.0005815915064886212,0.21901600062847137,0.21900595724582672,8.660590171813965
1,-20,-10.0,0.0005822922103106976,0.1882612407207489,0.1882508248090744,5.773838996887207
1,-10,-5.0,0.0005825068801641464,0.13778474926948547,0.1377725452184677,2.887087821960449
1,0,0.0,0.0005828037392348051,5.731854457735608e-07,7.612439367221668e-05,0.000498826673720032
1,10,5.0,0.0005835774354636669,0.13696777820587158,0.13693760335445404,2.8864145278930664
1,20,10.0,0.0005830585723742843,0.18680813908576965,0.18678586184978485,5.773166179656982
1,30,15.0,0.0005820065271109343,0.21744370460510254,0.21742510795593262,8.659918785095215
1,40,20.0,0.0005805965047329664,0.23554198443889618,0.235525444149971,11.546669960021973
2000,-40,-20.0,-0.18955741822719574,0.23678238689899445,0.23075200617313385,11.4449462890625
2000,-30,-15.0,-0.17084887623786926,0.21901600062847137,0.2107435017824173,8.570306777954102
2000,-20,-10.0,-0.13758650422096252,0.1882612407207489,0.1762797236442566,5.704086780548096
2000,-10,-5.0,-0.08687102049589157,0.13778474926948547,0.1181817352771759,2.846696138381958
2000,0,0.0,0.007098864763975143,5.731854457735608e-07,0.0012574592838063836,0.010393042117357254
2000,10,5.0,-0.07391659170389175,0.13696777820587158,0.13820070028305054,2.9385986328125
2000,20,10.0,-0.1256740689277649,0.18680813908576965,0.18620029091835022,5.855643272399902
2000,30,15.0,-0.16009894013404846,0.21744370460510254,0.21674856543540955,8.761163711547852
2000,40,20.0,-0.1817137897014618,0.23554198443889618,0.2347886562347412,11.659223556518555
4000,-40,-20.0,0.06921042501926422,0.23678238689899445,0.22552934288978577,11.618365287780762
4000,-30,-15.0,0.043700385838747025,0.21901600062847137,0.20782044529914856,8.719969749450684
4000,-20,-10.0,0.018890805542469025,0.1882612407207489,0.17687198519706726,5.82125997543335
4000,-10,-5.0,-0.043884992599487305,0.13778474926948547,0.12283055484294891,2.8963623046875
4000,0,0.0,0.0006922472966834903,5.731854457735608e-07,0.001013109227642417,0.015148271806538105
4000,10,5.0,0.019772395491600037,0.13696777820587158,0.12306175380945206,2.9070627689361572
4000,20,10.0,0.07286076992750168,0.18680813908576965,0.17133373022079468,5.767277717590332
4000,30,15.0,0.11989548057317734,0.21744370460510254,0.20284128189086914,8.62533950805664
4000,40,20.0,0.13542166352272034,0.23554198443889618,0.22203795611858368,11.500768661499023
6000,-40,-20.0,-0.21334503591060638,0.23678238689899445,0.220356285572052,11.451634407043457
6000,-30,-15.0,-0.211622953414917,0.21901600062847137,0.2025865912437439,8.5690336227417
6000,-20,-10.0,-0.18449538946151733,0.1882612407207489,0.17158126831054688,5.699976444244385
6000,-10,-5.0,-0.17892886698246002,0.13778474926948547,0.11482760310173035,2.8148064613342285
6000,0,0.0,0.018238946795463562,5.731854457735608e-07,0.0009003872983157635,0.01891700178384781
6000,10,5.0,-0.07352541387081146,0.13696777820587158,0.12484490871429443,2.958989143371582
6000,20,10.0,-0.10047044605016708,0.18680813908576965,0.17235466837882996,5.863044261932373
6000,30,15.0,-0.10761456191539764,0.21744370460510254,0.20161248743534088,8.75109577178955
6000,40,20.0,-0.13323917984962463,0.23554198443889618,0.2196962982416153,11.649457931518555
8000,-40,-20.0,-0.04522006958723068,0.23678238689899445,0.22635623812675476,11.550307273864746
8000,-30,-15.0,-0.07638868689537048,0.21901600062847137,0.20803754031658173,8.650389671325684
8000,-20,-10.0,-0.09315701574087143,0.1882612407207489,0.17607110738754272,5.7559075355529785
8000,-10,-5.0,-0.15671813488006592,0.13778474926948547,0.11782307177782059,2.830526828765869
8000,0,0.0,-0.019404739141464233,5.731854457735608e-07,0.0012518631992861629,0.031682681292295456
8000,10,5.0,-0.005562109872698784,0.13696777820587158,0.1221785768866539,2.9227116107940674
8000,20,10.0,-0.011839788407087326,0.18680813908576965,0.1712515950202942,5.814183235168457
8000,30,15.0,0.009477216750383377,0.21744370460510254,0.2010820209980011,8.685954093933105
8000,40,20.0,-0.0002230871468782425,0.23554198443889618,0.22006121277809143,11.574535369873047
10000,-40,-20.0,0.17181077599525452,0.23678238689899445,0.22939321398735046,11.67600154876709
10000,-30,-15.0,0.13050450384616852,0.21901600062847137,0.21161003410816193,8.77004623413086
