epoch,shift_pixels_fullres_x,true_flow_x_lowres,predicted_flow_x_mean_lowres,rmse_before,rmse_after,dvf_rmse
1,-40,-20.0,0.000777095090597868,0.23678238689899445,0.2367616891860962,11.547453880310059
1,-30,-15.0,0.0007777150021865964,0.21901600062847137,0.2189950793981552,8.660703659057617
1,-20,-10.0,0.0007751639932394028,0.1882612407207489,0.18823900818824768,5.773950099945068
1,-10,-5.0,0.000768723082728684,0.13778474926948547,0.13775767385959625,2.887195348739624
1,0,0.0,0.0007613500347360969,5.731854457735608e-07,0.00014558903058059514,0.0008298796019516885
1,10,5.0,0.0007681013084948063,0.13696777820587158,0.13691319525241852,2.886308193206787
1,20,10.0,0.0007737445994280279,0.18680813908576965,0.18676720559597015,5.7730560302734375
1,30,15.0,0.0007764842011965811,0.21744370460510254,0.21740907430648804,8.659806251525879
1,40,20.0,0.0007762672612443566,0.23554198443889618,0.23551081120967865,11.546557426452637
2000,-40,-20.0,0.059552356600761414,0.23678238689899445,0.2323390543460846,11.58418083190918
2000,-30,-15.0,0.039151791483163834,0.21901600062847137,0.21463850140571594,8.685897827148438
2000,-20,-10.0,0.0209326334297657,0.1882612407207489,0.18332234025001526,5.788793087005615
2000,-10,-5.0,0.005466419272124767,0.13778474926948547,0.13180869817733765,2.892838716506958
2000,0,0.0,0.0007698012050241232,5.731854457735608e-07,0.0005371309234760702,0.0021819674875587225
2000,10,5.0,0.013282110914587975,0.13696777820587158,0.12764188647270203,2.881899118423462
2000,20,10.0,0.030222468078136444,0.18680813908576965,0.1777390092611313,5.7591423988342285
2000,30,15.0,0.049186501652002335,0.21744370460510254,0.20955249667167664,8.634832382202148
2000,40,20.0,0.06858225911855698,0.23554198443889618,0.22843296825885773,11.510168075561523
4000,-40,-20.0,-0.4696083664894104,0.23678238689899445,0.2325393408536911,11.328878402709961
4000,-30,-15.0,-0.45527881383895874,0.21901600062847137,0.21337996423244476,8.461174964904785
4000,-20,-10.0,-0.3771553337574005,0.1882612407207489,0.18163834512233734,5.621305465698242
4000,-10,-5.0,-0.21369154751300812,0.13778474926948547,0.13093627989292145,2.807589054107666
4000,0,0.0,0.00018460584396962076,5.731854457735608e-07,0.0004090128350071609,0.0021779858507215977
4000,10,5.0,-0.2115057110786438,0.13696777820587158,0.1336965709924698,3.0490076541900635
4000,20,10.0,-0.3866993188858032,0.18680813908576965,0.18698281049728394,6.0598978996276855
4000,30,15.0,-0.4779110550880432,0.21744370460510254,0.21727003157138824,9.001845359802246
4000,40,20.0,-0.495741069316864,0.23554198443889618,0.23414067924022675,11.889383316040039
