epoch,shift_pixels_fullres_x,true_flow_x_lowres,predicted_flow_x_mean_lowres,rmse_before,rmse_after,dvf_rmse
1,0,0.0,-0.0007477401522919536,5.731854457735608e-07,0.00016903885989449918,0.0006687121349386871
1,10,5.0,-0.0007477554609067738,0.13696777820587158,0.13693267107009888,2.88718318939209
1,20,10.0,-0.000749705417547375,0.18680813908576965,0.18676963448524475,5.773935794830322
1,30,15.0,-0.0007502732914872468,0.21744371950626373,0.2174016535282135,8.660687446594238
1,40,20.0,-0.0007492754957638681,0.23554198443889618,0.23549649119377136,11.54743766784668
2000,0,0.0,-0.00980448629707098,5.731854457735608e-07,0.0017032069154083729,0.011002608574926853
2000,10,5.0,0.0031000892631709576,0.13696777820587158,0.1302832067012787,2.887620210647583
2000,20,10.0,0.012884628027677536,0.18680813908576965,0.1818699836730957,5.768834114074707
2000,30,15.0,0.019411340355873108,0.21744371950626373,0.21373173594474792,8.651599884033203
2000,40,20.0,0.02285917103290558,0.23554198443889618,0.23265467584133148,11.536096572875977
4000,0,0.0,-0.000771577819250524,5.731854457735608e-07,0.000956857344135642,0.01637694612145424
4000,10,5.0,0.1006188839673996,0.13696777820587158,0.12770631909370422,2.8706204891204834
4000,20,10.0,0.022021779790520668,0.18680813908576965,0.18191003799438477,5.804258823394775
4000,30,15.0,-0.07282894849777222,0.21744371950626373,0.2141978144645691,8.74137020111084
4000,40,20.0,-0.15964798629283905,0.23554198443889618,0.23257334530353546,11.673535346984863
