gradient_l2_norm,loss_image_raw,loss_image_weighted,loss_vec_raw,loss_vec_weighted,parameter_max_abs_change,parameter_mean_abs_change,parameters_with_gradient,prediction_max_abs,prediction_mean,prediction_std,step,teacher_prediction_mae,teacher_scale,total_loss,total_parameter_tensors,updated_parameter_tensors
0.1234632134437561,0.0002819052606355399,0.028190525248646736,0.13868552446365356,0.0013868552632629871,0.00010000169277191162,9.843243606155738e-05,58,6.824239730834961,0.023098643869161606,0.4703197479248047,1,0.26279205083847046,0.5,0.029577380046248436,58,58
0.5128653049468994,0.0001361453760182485,0.013614537194371223,0.1076154112815857,0.0010761540615931153,,,58,2.380603313446045,-0.1172475665807724,0.33739665150642395,2,0.25197499990463257,0.5,0.014690691605210304,,
0.17747604846954346,0.0001967335701920092,0.019673356786370277,0.08756628632545471,0.0008756628376431763,,,58,5.735894680023193,0.09060090780258179,0.333996057510376,3,0.20648977160453796,0.5,0.020549019798636436,,
0.1842186450958252,0.0001173738855868578,0.01173738855868578,0.0849287360906601,0.0008492873166687787,,,58,6.675560474395752,0.11870630830526352,0.2741074562072754,4,0.21510490775108337,0.5,0.012586675584316254,,
0.21140046417713165,0.00023685148335061967,0.023685147985816002,0.10177633166313171,0.0010177632793784142,,,58,10.18632984161377,0.1734583079814911,0.2774461507797241,5,0.2224486917257309,0.5,0.02470291033387184,,
0.278957337141037,0.00019413913832977414,0.019413914531469345,0.055410631000995636,0.0005541063146665692,,,58,3.7686703205108643,0.08099324256181717,0.26177170872688293,6,0.17277482151985168,0.5,0.019968021661043167,,
0.14609816670417786,0.0001947011041920632,0.019470110535621643,0.04503163695335388,0.0004503163509070873,,,58,8.445724487304688,0.04212575778365135,0.21466276049613953,7,0.15329104661941528,0.5,0.019920427352190018,,
0.1082017794251442,0.00025924286455847323,0.025924285873770714,0.05069227144122124,0.0005069227190688252,,,58,7.368033409118652,0.06208707019686699,0.2360944151878357,8,0.1566888391971588,0.5,0.026431208476424217,,
0.12561194598674774,0.00016024500655476004,0.016024500131607056,0.05151386186480522,0.0005151386139914393,,,58,5.69789981842041,-0.03053078055381775,0.21455083787441254,9,0.16574695706367493,0.5,0.016539638862013817,,
0.16750286519527435,0.00024026856408454478,0.02402685582637787,0.03849402815103531,0.0003849402710329741,,,58,7.520386695861816,-0.04067911207675934,0.22400321066379547,10,0.1283106803894043,0.5,0.024411795660853386,,
0.11844012141227722,0.00016773713286966085,0.016773713752627373,0.042850740253925323,0.0004285073955543339,,,58,4.729658126831055,-0.027627073228359222,0.22906528413295746,11,0.14626872539520264,0.5,0.017202220857143402,,
0.09837257862091064,0.000176697300048545,0.01766972988843918,0.05251486226916313,0.0005251485854387283,,,58,3.9999561309814453,-0.03374214097857475,0.21919666230678558,12,0.16072236001491547,0.5,0.018194878473877907,,
0.09126760810613632,0.0001616558583918959,0.016165586188435555,0.049716971814632416,0.0004971697344444692,,,58,8.996511459350586,-0.05435517057776451,0.21825937926769257,13,0.1519065797328949,0.5,0.016662755981087685,,
0.13536277413368225,0.0002514673979021609,0.025146739557385445,0.06830375641584396,0.0006830375641584396,,,58,4.44508695602417,-0.026639413088560104,0.28228214383125305,14,0.1812300682067871,0.5,0.025829777121543884,,
0.10267623513936996,0.00015169884136412293,0.015169884078204632,0.026657070964574814,0.000266570714302361,,,58,7.283778667449951,-0.03583359718322754,0.18956845998764038,15,0.11583489179611206,0.5,0.015436454676091671,,
0.08073904365301132,0.00012422427244018763,0.012422427535057068,0.03166596591472626,0.00031665965798310935,,,58,7.169178485870361,0.023917101323604584,0.16889488697052002,16,0.12296557426452637,0.5,0.012739087454974651,,
0.06303317844867706,0.00017816433683037758,0.017816433683037758,0.03443365544080734,0.00034433655673637986,,,58,3.7960331439971924,0.0459161251783371,0.1980261504650116,17,0.13250011205673218,0.5,0.01816076971590519,,
0.08616822957992554,0.0002194563567172736,0.021945634856820107,0.04651407524943352,0.0004651407361961901,,,58,9.66940689086914,-0.027087517082691193,0.2334052324295044,18,0.13913533091545105,0.5,0.02241077646613121,,
0.07846543192863464,0.00015874550445005298,0.015874549746513367,0.0368705689907074,0.00036870568874292076,,,58,6.503445148468018,-0.008023250848054886,0.19701269268989563,19,0.13258472084999084,0.5,0.016243254765868187,,
0.11710803955793381,0.0002323937660548836,0.02323937602341175,0.03197420388460159,0.000319742044666782,,,58,4.959781169891357,0.034467630088329315,0.1823151707649231,20,0.1297813057899475,0.5,0.023559117689728737,,
0.10034976154565811,0.00020247060456313193,0.02024706080555916,0.04310823604464531,0.00043108235695399344,,,58,6.158120155334473,0.011329969391226768,0.20899175107479095,21,0.14008234441280365,0.5,0.020678143948316574,,
0.060459334403276443,0.0001451325078960508,0.014513250440359116,0.03359080106019974,0.0003359080001246184,,,58,4.918270111083984,0.0050763459876179695,0.19115743041038513,22,0.12514273822307587,0.5,0.014849158003926277,,
0.08113556355237961,0.00013649137690663338,0.013649137690663338,0.03563963621854782,0.00035639634006656706,,,58,7.591159343719482,0.013162007555365562,0.2352539300918579,23,0.12232731282711029,0.5,0.01400553435087204,,
0.08850373327732086,0.00016254580987151712,0.01625458151102066,0.03693431615829468,0.0003693431499414146,,,58,2.9274299144744873,0.05942658707499504,0.21596643328666687,24,0.13611054420471191,0.5,0.016623925417661667,,
0.1115952581167221,0.0002984096354339272,0.02984096296131611,0.03150332719087601,0.00031503327772952616,,,58,8.105491638183594,-0.04277978837490082,0.22880180180072784,25,0.11818508803844452,0.5,0.03015599586069584,,
0.06410100311040878,0.00013557783677242696,0.01355778332799673,0.038819849491119385,0.0003881984739564359,,,58,8.574555397033691,0.03659139573574066,0.21551749110221863,26,0.136256605386734,0.5,0.013945981860160828,,
0.09959059953689575,0.00021276729239616543,0.021276729181408882,0.04244657978415489,0.00042446577572263777,,,58,6.5949387550354,-0.02538532391190529,0.2364680916070938,27,0.13246415555477142,0.5,0.02170119434595108,,
0.043929196894168854,0.00015716043708380312,0.01571604423224926,0.029884550720453262,0.0002988454943988472,,,58,2.543276786804199,-0.022318212315440178,0.22048936784267426,28,0.12206375598907471,0.5,0.016014888882637024,,
0.048363033682107925,0.00011732934945030138,0.011732934974133968,0.03261300548911095,0.0003261300444137305,,,58,7.642504692077637,-0.0009257751516997814,0.19505661725997925,29,0.12674985826015472,0.5,0.012059064581990242,,
0.04113307222723961,0.00017559737898409367,0.017559736967086792,0.03222043812274933,0.000322204374242574,,,58,3.0952816009521484,0.04966588318347931,0.19995321333408356,30,0.12918919324874878,0.5,0.01788194105029106,,
0.09504226595163345,0.00017881460371427238,0.01788146048784256,0.028438564389944077,0.000284385634586215,,,58,7.469621181488037,-0.08058850467205048,0.1966530978679657,31,0.11134739965200424,0.5,0.018165845423936844,,
0.051054734736680984,0.00013966465485282242,0.01396646536886692,0.024428382515907288,0.00024428381584584713,,,58,4.224431991577148,0.040625251829624176,0.1912914663553238,32,0.11304973065853119,0.5,0.014210749417543411,,
0.06792942434549332,0.0002774755994323641,0.027747560292482376,0.04042797535657883,0.0004042797372676432,,,58,7.337978839874268,-0.0047993347980082035,0.21375758945941925,33,0.13586027920246124,0.5,0.02815183997154236,,
0.06204543262720108,0.0002685866493266076,0.02685866504907608,0.03778611868619919,0.00037786117172800004,,,58,6.557858467102051,0.01367921195924282,0.2137107402086258,34,0.13191120326519012,0.5,0.02723652683198452,,
0.08852266520261765,0.0002782041556201875,0.027820415794849396,0.0423322394490242,0.0004233223735354841,,,58,8.393844604492188,-0.03550780937075615,0.23499742150306702,35,0.13333237171173096,0.5,0.028243737295269966,,
0.054816994816064835,0.000131547189084813,0.013154719024896622,0.026122279465198517,0.0002612227981444448,,,58,3.59773325920105,0.04397154599428177,0.18320858478546143,36,0.11288920044898987,0.5,0.013415941968560219,,
0.0886768251657486,0.0003221613587811589,0.032216135412454605,0.041224755346775055,0.0004122475511394441,,,58,9.256678581237793,-0.009792353957891464,0.23663118481636047,37,0.12275968492031097,0.5,0.032628383487463,,
0.08499719947576523,0.00017747434321790934,0.017747433856129646,0.02618788182735443,0.0002618787984829396,,,58,5.9890923500061035,-0.03952360898256302,0.17747265100479126,38,0.11457568407058716,0.5,0.018009312450885773,,
0.07803064584732056,0.00014481705147773027,0.01448170468211174,0.046203307807445526,0.00046203305828385055,,,58,8.098968505859375,0.005148787051439285,0.22677868604660034,39,0.14412632584571838,0.5,0.014943737536668777,,
0.08901692181825638,0.00016419503663200885,0.016419503837823868,0.030311807990074158,0.000303118082229048,,,58,3.9319980144500732,0.01832607202231884,0.21937333047389984,40,0.12265174835920334,0.5,0.016722621396183968,,
0.12012097984552383,0.00019677159434650093,0.019677160307765007,0.033797554671764374,0.0003379755362402648,,,58,8.944160461425781,-0.025964632630348206,0.21908213198184967,41,0.11912183463573456,0.5,0.020015135407447815,,
0.04508572816848755,0.00019861097098328173,0.019861096516251564,0.03257753700017929,0.0003257753560319543,,,58,3.6732592582702637,0.005933860316872597,0.23599612712860107,42,0.13075529038906097,0.5,0.02018687129020691,,
0.06658445298671722,0.000185026612598449,0.01850266195833683,0.03754753991961479,0.0003754753852263093,,,58,8.349245071411133,-0.02197183668613434,0.2268095165491104,43,0.13065114617347717,0.5,0.018878137692809105,,
0.09699680656194687,0.00020988281175959855,0.020988281816244125,0.03073599748313427,0.00030735996551811695,,,58,5.745025157928467,-0.021970726549625397,0.19768548011779785,44,0.1182980090379715,0.5,0.021295642480254173,,
