split,body_mse_delta_same_minus_different_mean,body_mse_delta_same_minus_different_median,body_mse_delta_same_minus_different_q25,body_mse_delta_same_minus_different_q75,body_mae_delta_same_minus_different_mean,body_mae_delta_same_minus_different_median,body_mae_delta_same_minus_different_q25,body_mae_delta_same_minus_different_q75,body_ncc_delta_same_minus_different_mean,body_ncc_delta_same_minus_different_median,body_ncc_delta_same_minus_different_q25,body_ncc_delta_same_minus_different_q75,body_ssim_delta_same_minus_different_mean,body_ssim_delta_same_minus_different_median,body_ssim_delta_same_minus_different_q25,body_ssim_delta_same_minus_different_q75,jacobian_fold_fraction_delta_same_minus_different_mean,jacobian_fold_fraction_delta_same_minus_different_median,jacobian_fold_fraction_delta_same_minus_different_q25,jacobian_fold_fraction_delta_same_minus_different_q75,log_jacobian_sd_delta_same_minus_different_mean,log_jacobian_sd_delta_same_minus_different_median,log_jacobian_sd_delta_same_minus_different_q25,log_jacobian_sd_delta_same_minus_different_q75,flow_bending_energy_delta_same_minus_different_mean,flow_bending_energy_delta_same_minus_different_median,flow_bending_energy_delta_same_minus_different_q25,flow_bending_energy_delta_same_minus_different_q75,out_of_bounds_fraction_delta_same_minus_different_mean,out_of_bounds_fraction_delta_same_minus_different_median,out_of_bounds_fraction_delta_same_minus_different_q25,out_of_bounds_fraction_delta_same_minus_different_q75
Train,-0.004773436579853296,-0.0019934355514124036,-0.007530173403210938,-0.0014517506351694465,-0.012575709778401587,-0.008190239779651165,-0.01892144326120615,-0.006369021255522966,0.0837937593460083,0.043094903230667114,0.027950569987297058,0.1276458501815796,0.11032679345872667,0.11320051550865173,0.09153503179550171,0.12715940177440643,-0.09158155653211805,-0.088623046875,-0.093780517578125,-0.08426284790039062,-0.5609853325618638,-0.5921821892261505,-0.6388212367892265,-0.48517902195453644,-0.21193241224520737,-0.20711804367601871,-0.2400051795411855,-0.17240891978144646,0.023041195339626737,0.0253143310546875,0.016460418701171875,0.028341293334960938
Validation,-0.0011375613394193351,-0.001302851946093142,-0.0013831075630150735,-0.0010573057224974036,-0.005238376557826996,-0.00607953779399395,-0.006513466127216816,-0.00480444822460413,0.02063809335231781,0.02303829789161682,0.017397820949554443,0.026278570294380188,0.08241389691829681,0.0916585922241211,0.07855045795440674,0.09552203118801117,-0.08905029296875,-0.09016799926757812,-0.09366607666015625,-0.08555221557617188,-0.6495716832578182,-0.6493327841162682,-0.6666466295719147,-0.6322578378021717,-0.17268475447781384,-0.1714633689261973,-0.178838225081563,-0.16530989832244813,0.02390289306640625,0.027507781982421875,0.02198028564453125,0.029430389404296875
