checkpoint,fine_tuning_epoch,mse_mean,mse_std,mae_mean,mae_std,ncc_mean,ncc_std
80k pretrain / FT 0,0,0.00447988067753613,0.003014959939600981,0.038659502413462506,0.009797716668804074,0.91612847013907,0.05046238240607302
Same-patient FT 1k,1000,0.004633707629347389,0.0024824978507270307,0.03997740657492117,0.008255283068951274,0.9127756465565074,0.041259093594749593
Same-patient FT 5k,5000,0.0038633053720166736,0.0014977377045013547,0.03757050692696463,0.006073734887838139,0.9269779920578003,0.02556240212485839
Same-patient FT 10k,10000,0.003554275693287226,0.0011797850571243983,0.03658324640921571,0.005294821522477019,0.9328896430405703,0.020453758625860703
Same-patient FT 20k,20000,0.003344032299620184,0.00101074330673693,0.03584142156283964,0.004857435249534528,0.9369212497364391,0.01789664892398227
Same-patient FT 30k,30000,0.003248422396030616,0.000953671363247335,0.03548983594572002,0.0047075488933963905,0.9388001588257876,0.01685951177380005
