checkpoint,fine_tuning_epoch,mse_mean,mse_std,mae_mean,mae_std,ncc_mean,ncc_std
80k pretrain / FT 0,0,0.014656938053667546,0.006479449238227146,0.04724019542336464,0.012757377653782188,0.8969681680202484,0.04541588926388215
FT 1k,1000,0.009219754952937365,0.003850966545514276,0.03695899099111557,0.008148987839422936,0.935043329000473,0.027436701227284206
FT 5k,5000,0.0055399337783455845,0.001391861241759313,0.029336290806531905,0.003914826875239741,0.960792464017868,0.009980975141692276
FT 10k,10000,0.004779362166300416,0.0011264854786777062,0.027458533458411694,0.0034397071365867967,0.9660937547683716,0.00807398698316167
FT 20k,20000,0.004170781467109919,0.0009273404637896101,0.02589383125305176,0.0030726983792718275,0.9703615128993988,0.006599983930974064
FT 30k,30000,0.003918435797095299,0.0008223560326062952,0.02519151084125042,0.0028395523432206467,0.9721124291419982,0.005880497079452735
