dvf_weight,step,dvf_raw,image_raw,dvf_weighted,image_weighted,total,image_to_dvf,vec_abs_max
0.01,1,0.002453341381624341,6.61607482470572e-05,2.453341403452214e-05,0.006616074591875076,0.0066406079567968845,269.6760559082031,8.717942364455666e-06
0.01,2,0.0017510699108242989,3.991004632553086e-05,1.751069794408977e-05,0.003991004545241594,0.0040085152722895145,227.91807556152344,0.0007542092353105545
0.01,3,0.0025483230128884315,4.352976247901097e-05,2.5483230274403468e-05,0.004352976102381945,0.004378459416329861,170.81727600097656,0.0022867885418236256
0.01,4,0.0015119935851544142,3.205307439202443e-05,1.5119935596885625e-05,0.003205307526513934,0.0032204275485128164,211.9921417236328,0.004974269308149815
0.01,5,0.002533512655645609,6.403634324669838e-05,2.533512633817736e-05,0.006403634324669838,0.00642896955832839,252.7571563720703,0.009974372573196888
0.01,6,0.0016882483614608645,2.5846688004094176e-05,1.6882482668734156e-05,0.002584668807685375,0.0026015513576567173,153.09767150878906,0.01812715269625187
0.01,7,0.0020521755795925856,4.554373299470171e-05,2.052175477729179e-05,0.00455437321215868,0.004574894905090332,221.9290313720703,0.030960140749812126
0.01,8,0.0022384016774594784,5.029277963330969e-05,2.23840161197586e-05,0.005029277876019478,0.0050516617484390736,224.68165588378906,0.052536845207214355
0.01,9,0.0026446606498211622,5.614959809463471e-05,2.6446605261298828e-05,0.0056149596348404884,0.005641406401991844,212.3130645751953,0.08718502521514893
0.01,10,0.0027112539391964674,4.488391277845949e-05,2.711253910092637e-05,0.00448839133605361,0.004515503998845816,165.54669189453125,0.06773713231086731
0.2,1,0.002453341381624341,6.61607482470572e-05,0.0004906682879664004,0.006616074591875076,0.007106742821633816,13.483802795410156,8.717942364455666e-06
0.2,2,0.0017512866761535406,3.992925849161111e-05,0.0003502573526930064,0.003992925863713026,0.004343183245509863,11.399977684020996,0.0007547896821051836
0.2,3,0.002548075281083584,4.3564141378737986e-05,0.0005096150562167168,0.004356414079666138,0.0048660291358828545,8.548440933227539,0.0022920977789908648
0.2,4,0.0015121158212423325,3.208463385817595e-05,0.0003024231700692326,0.0032084633130580187,0.0035108865704387426,10.609185218811035,0.005013070069253445
0.2,5,0.002536212094128132,6.410230707842857e-05,0.0005072424537502229,0.006410230882465839,0.006917473394423723,12.637410163879395,0.009915785863995552
0.2,6,0.001686449977569282,2.586222399258986e-05,0.0003372899955138564,0.0025862224865704775,0.002923512365669012,7.667652606964111,0.018211131915450096
0.2,7,0.0020436816848814487,4.560677916742861e-05,0.00040873634861782193,0.0045606778003275394,0.004969414323568344,11.157994270324707,0.03047174960374832
0.2,8,0.0022316304966807365,5.046412843512371e-05,0.0004463260993361473,0.005046412814408541,0.005492738913744688,11.306559562683105,0.050991564989089966
0.2,9,0.002581495326012373,5.4313648433890194e-05,0.0005162991001270711,0.005431364756077528,0.00594766391441226,10.519803047180176,0.08474324643611908
0.2,10,0.0026677753776311874,4.370746319182217e-05,0.000533555110450834,0.004370746202766895,0.00490430137142539,8.191742897033691,0.06560889631509781
0.5,1,0.002453341381624341,6.61607482470572e-05,0.0012266706908121705,0.006616074591875076,0.007842745631933212,5.393521308898926,8.717942364455666e-06
0.5,2,0.0017522344132885337,4.000325861852616e-05,0.0008761172066442668,0.004000325687229633,0.0048764427192509174,4.5659708976745605,0.0007544487016275525
0.5,3,0.002546650590375066,4.369398084236309e-05,0.001273325295187533,0.004369398113340139,0.0056427232921123505,3.431486129760742,0.0022369730286300182
0.5,4,0.001512738293968141,3.217519406462088e-05,0.0007563691469840705,0.0032175194937735796,0.003973888698965311,4.25390100479126,0.005083140451461077
