stage,epoch,test_shift_x_px,mse_before,mse_after,mae_before,mae_after,rmse_before,rmse_after,ncc_before,ncc_after,mse_reduction_percent,predicted_flow_abs_mean_lowres
30,60000,30,0.047281764447689056,0.0348781943321228,0.1055031418800354,0.08486293256282806,0.2174437040884124,0.18675704627168102,0.6561046838760376,0.7502486109733582,26.23330635067383,1.5053215026855469
31,62000,31,0.048275984823703766,0.04111001640558243,0.10730056464672089,0.09672824293375015,0.21971796654735307,0.202756051464765,0.6486271619796753,0.7004516124725342,14.843753978899276,1.574873447418213
32,64000,32,0.04923131689429283,0.03919198736548424,0.1090335100889206,0.09302212297916412,0.2218813126297319,0.19796966274023967,0.6414146423339844,0.7172912359237671,20.392161254521323,1.564011573791504
33,66000,33,0.05014879256486893,0.03571561723947525,0.11070379614830017,0.08650048822164536,0.22393926088309957,0.1889857593562945,0.6344550251960754,0.741028904914856,28.780703556768476,1.6902828216552734
34,68000,34,0.051040492951869965,0.03711547702550888,0.11232763528823853,0.08868265897035599,0.22592143092648373,0.19265377500975392,0.6276628375053406,0.730570912361145,27.282291218253047,1.7088134288787842
35,70000,35,0.05189371109008789,0.03807781636714935,0.11388787627220154,0.09087258577346802,0.22780191195441685,0.19513537958850352,0.6211249232292175,0.7280895709991455,26.623447105091472,1.5591113567352295
36,72000,36,0.05268719792366028,0.03775746375322342,0.11536434292793274,0.09021539241075516,0.22953692061117376,0.1943127987375598,0.6149779558181763,0.7286334037780762,28.336549975705488,1.7868974208831787
37,74000,37,0.053441233932971954,0.039704129099845886,0.11677046865224838,0.09357471764087677,0.2311736012891004,0.1992589498613447,0.6091094613075256,0.7124037146568298,25.70506671001585,1.738408088684082
38,76000,38,0.05415788292884827,0.04010982811450958,0.11810566484928131,0.09453418850898743,0.23271846280183328,0.20027438207246973,0.6035076975822449,0.7124379873275757,25.93907674122858,1.8488696813583374
39,78000,39,0.054834626615047455,0.04686117172241211,0.11938060075044632,0.10712872445583344,0.2341679453192675,0.2164744135513759,0.5981721878051758,0.6552919149398804,14.540912165976723,1.125359296798706
40,80000,40,0.055480025708675385,0.04962015897035599,0.12060099840164185,0.11178044974803925,0.23554198290044895,0.22275582814004213,0.5930423140525818,0.6338931918144226,10.562119724113776,1.648364782333374
